Company,Inches,ScreenResolution,Cpu_Company,Ram_in_GB,Memory,OpSys,Price,ScreenType,Gpu_Model,Cpu_Model,Memory_Type,Company_freq,Ram_in_GB_freq,Inches_freq,Memory_freq,Gpu_Company_orig,Gpu_Company_Amd,Gpu_Company_Arm,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_freq,ScreenType_Full HD ,ScreenType_IPS Panel ,ScreenType_IPS Panel Full HD ,ScreenType_IPS Panel Quad HD,ScreenType_IPS Panel Retina Display ,ScreenType_IPS Panel Touchscreen ,ScreenType_QHD ,ScreenType_Quad HD,ScreenType_Regular,ScreenType_Touchscreen ,Gpu_Model_freq,ScreenResolution_freq
Acer,14.0,1366x768,Intel,8,1TB,Windows 10,20725.92,Regular,HD Graphics 520,Core i3 6006U 2GHz,HDD,107,619,199,260,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,170,282
Asus,15.6,1920x1080,Intel,8,1TB,Windows 10,50562.72,Full HD ,GeForce GTX 1050,Core i7 7700HQ 2.8GHz,HDD,160,619,677,260,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,61,809
Dell,15.6,1920x1080,Intel,8,128GB,Windows 10,45554.4,Full HD ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD +  1TB HDD,301,619,677,177,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
Acer,15.6,1920x1080,Intel,4,1TB,Windows 10,28238.4,Full HD ,GeForce MX130,Core i3 7130U 2.7GHz,HDD,107,375,677,260,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,6,809
HP,17.3,1920x1080,Intel,8,128GB,Windows 10,52054.56,Full HD ,GeForce 930MX,Core i5 8250U 1.6GHz,SSD +  1TB HDD,279,619,171,177,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,20,809
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,58403.4,IPS Panel Full HD ,UHD Graphics 620,Core i5 8250U 1.6GHz,SSD,301,619,677,508,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,68,809
Apple,12.0,2304x1440,Intel,8,512GB,macOS,80452.8,IPS Panel Retina Display ,HD Graphics 615,Core i5 1.3GHz,SSD,21,619,6,145,Intel,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,14,6
HP,14.0,1920x1080,Intel,8,256GB,Windows 10,45820.8,Full HD ,HD Graphics 620,Core i5 8250U 1.6GHz,SSD,279,619,199,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Lenovo,15.6,1920x1080,AMD,4,128GB,Windows 10,21258.72,Full HD ,R4 Graphics,A6-Series 9220 2.5GHz,SSD,301,375,677,177,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,1,809
Acer,15.6,1366x768,AMD,4,1TB,Windows 10,21045.6,Regular,Radeon R5,A9-Series 9420 3GHz,HDD,107,375,677,260,Amd,1,0,0,0,1065,0,0,0,0,0,0,0,0,1,0,11,282
